"dataset","source_id","file_name","path","bytes","sha256","actual_sha256","match"
"ld_reference_1kg","4cad6cfd-2e69-43ca-ba1c-a66f73d3b219","1000G_EUR.fam","03_data/raw/ld_reference_1kg/4cad6cfd-2e69-43ca-ba1c-a66f73d3b219/1000G_EUR.fam",9557,"ccc5f19953f0f7debd096aaaf26aef11e49c8fad803abdfcd44f955ac9c5edc8","ccc5f19953f0f7debd096aaaf26aef11e49c8fad803abdfcd44f955ac9c5edc8",TRUE
"ld_reference_1kg","221e7389-5301-4b1c-8e56-93191285d68f","1000G_AFR.fam","03_data/raw/ld_reference_1kg/221e7389-5301-4b1c-8e56-93191285d68f/1000G_AFR.fam",12394,"f72357699ac7d927bff5d46de0c25c09f72028f3160aacc169b84623e1268848","f72357699ac7d927bff5d46de0c25c09f72028f3160aacc169b84623e1268848",TRUE
"ld_reference_1kg","a47b7c9d-6d8a-4d0f-aed4-0d1cc156d16b","1000G_EUR.bed","03_data/raw/ld_reference_1kg/a47b7c9d-6d8a-4d0f-aed4-0d1cc156d16b/1000G_EUR.bed",231387159,"96da36833e797ceebcd5faf97bff4aa66cfdc0e3860a85a0d244e249f53a2463","96da36833e797ceebcd5faf97bff4aa66cfdc0e3860a85a0d244e249f53a2463",TRUE
"ed_2025","59218637","ed_eur_meta_ac.gz","03_data/raw/ed_2025/59218637/ed_eur_meta_ac.gz",57787516,"1fe54cb9cdbf5690e85c134e479b7bdde685ec026c072924332afbf32f4ffe94","1fe54cb9cdbf5690e85c134e479b7bdde685ec026c072924332afbf32f4ffe94",TRUE
"ed_2025","59218646","ed_afr_meta_aa.gz","03_data/raw/ed_2025/59218646/ed_afr_meta_aa.gz",94371840,"ca84b23418dbcc4d1371fc7409116b7533f448f5c1bb0be206ee5eeb52d74c09","ca84b23418dbcc4d1371fc7409116b7533f448f5c1bb0be206ee5eeb52d74c09",TRUE
"ed_2025","59218658","ed_cross_ancestry_meta_ab.gz","03_data/raw/ed_2025/59218658/ed_cross_ancestry_meta_ab.gz",94371840,"b2807ce76c3e3bbd9068944cbac7563bd51a089b9b5979ee274b60b2d5a66992","b2807ce76c3e3bbd9068944cbac7563bd51a089b9b5979ee274b60b2d5a66992",TRUE
"finngen_r12","finngen_R12_ERECTILE_DYSFUNCTION","finngen_R12_ERECTILE_DYSFUNCTION.gz","03_data/raw/finngen_r12/finngen_R12_ERECTILE_DYSFUNCTION/finngen_R12_ERECTILE_DYSFUNCTION.gz",809561836,"4b349b22bc9d720ea016752a7e65cac25712b6bf329f14df92996a3fa1d1bcbb","4b349b22bc9d720ea016752a7e65cac25712b6bf329f14df92996a3fa1d1bcbb",TRUE
"microbiome_2026","GCST90670368","GCST90670368.tsv.gz","03_data/raw/microbiome_2026/GCST90670368/GCST90670368.tsv.gz",127842396,"a7ad4dd4a4377b7943af2c36d100823dc7ac85e8e41afb36a8053262d5e18be3","a7ad4dd4a4377b7943af2c36d100823dc7ac85e8e41afb36a8053262d5e18be3",TRUE
"microbiome_2026","GCST90671153","GCST90671153.tsv.gz","03_data/raw/microbiome_2026/GCST90671153/GCST90671153.tsv.gz",92732723,"82528b1f5a50619218c9953c7af6b27666c94e797117f22c892d3a01b1f1bcbd","82528b1f5a50619218c9953c7af6b27666c94e797117f22c892d3a01b1f1bcbd",TRUE
"microbiome_2026","GCST90671939","GCST90671939.tsv.gz","03_data/raw/microbiome_2026/GCST90671939/GCST90671939.tsv.gz",127737834,"bb1063c2270b97c3dc2dacd7be10ec70c5ca108b40676029e2a003adc3f9fe5c","bb1063c2270b97c3dc2dacd7be10ec70c5ca108b40676029e2a003adc3f9fe5c",TRUE
"microbiome_2026_hunt","GCST90666541","GCST90666541.tsv.gz","03_data/raw/microbiome_2026_hunt/GCST90666541/GCST90666541.tsv.gz",171160290,"ca059ae8623a93fdbb3859faa49e68e2de4d6be12867b8f183f116bdbda4b47f","ca059ae8623a93fdbb3859faa49e68e2de4d6be12867b8f183f116bdbda4b47f",TRUE
"microbiome_2026_hunt","GCST90667045","GCST90667045.tsv.gz","03_data/raw/microbiome_2026_hunt/GCST90667045/GCST90667045.tsv.gz",171108861,"ca193c5930b8800054b6b8bbd5a24481d32ecf780762c1eea4d6c951dbba94c5","ca193c5930b8800054b6b8bbd5a24481d32ecf780762c1eea4d6c951dbba94c5",TRUE
"microbiome_2026_hunt","GCST90667549","GCST90667549.tsv.gz","03_data/raw/microbiome_2026_hunt/GCST90667549/GCST90667549.tsv.gz",171203699,"81b05f1a6f14fca1e818f7f5fa80c63b5f64a9020564f6ff1b957e03c8495cf6","81b05f1a6f14fca1e818f7f5fa80c63b5f64a9020564f6ff1b957e03c8495cf6",TRUE
